,id,product_id,cost,created_at,sold_at,product_category,product_name,product_brand,product_sku,product_retail_price,user_id,sale_price,sold_date
0,1,16783,28.32,2019-05-23,1,Tops & Tees,Calvin Klein Sportswear Men's Slim Fit Longsleeve Mini Stripe Shirt,Calvin Klein,7FBF2D8E7B84E90FD9E2698DB2D22362,55.0,1.0,55.0,2019-07-20
1,2,16783,28.32,2020-11-08,0,Tops & Tees,Calvin Klein Sportswear Men's Slim Fit Longsleeve Mini Stripe Shirt,Calvin Klein,7FBF2D8E7B84E90FD9E2698DB2D22362,55.0,1.0,68.94999694824219,
2,3,21357,35.1,2019-06-10,1,Jeans,RVCA Spanky II Denim Pant - Men's,RVCA,BDBE7E66F577B4E312FCC1B94EACC673,68.94999694824219,1.0,11.989999771118164,2019-07-21
3,4,21357,35.1,2021-12-22,0,Jeans,RVCA Spanky II Denim Pant - Men's,RVCA,BDBE7E66F577B4E312FCC1B94EACC673,68.94999694824219,1.0,49.9900016784668,
4,5,21357,35.1,2020-04-19,0,Jeans,RVCA Spanky II Denim Pant - Men's,RVCA,BDBE7E66F577B4E312FCC1B94EACC673,68.94999694824219,1.0,42.0,
5,6,26458,5.52,2019-06-08,1,Underwear,Men's Assorted Plaid Printed 3 Pack Boxer Shorts,Venom,F82B2A73A3F905EB4679A24495A79EE3,11.989999771118164,1.0,47.9900016784668,2019-07-20
6,7,26458,5.52,2022-05-14,0,Underwear,Men's Assorted Plaid Printed 3 Pack Boxer Shorts,Venom,F82B2A73A3F905EB4679A24495A79EE3,11.989999771118164,1.0,47.040000915527344,
7,8,26458,5.52,2020-07-29,0,Underwear,Men's Assorted Plaid Printed 3 Pack Boxer Shorts,Venom,F82B2A73A3F905EB4679A24495A79EE3,11.989999771118164,1.0,30.0,
8,9,26458,5.52,2020-08-05,0,Underwear,Men's Assorted Plaid Printed 3 Pack Boxer Shorts,Venom,F82B2A73A3F905EB4679A24495A79EE3,11.989999771118164,3.0,19.989999771118164,
9,10,27726,28.29,2019-07-05,1,Swim,Coolibar UPF 50+ Men's Short-Sleeve Quarter Zip Splash Guard - Sun Protection,Coolibar,98A81153211BC18454FD5747DA413E57,49.9900016784668,3.0,13.0,2019-07-19
10,11,27726,28.29,2020-06-06,0,Swim,Coolibar UPF 50+ Men's Short-Sleeve Quarter Zip Splash Guard - Sun Protection,Coolibar,98A81153211BC18454FD5747DA413E57,49.9900016784668,4.0,99.98999786376952,
11,12,27726,28.29,2021-11-29,0,Swim,Coolibar UPF 50+ Men's Short-Sleeve Quarter Zip Splash Guard - Sun Protection,Coolibar,98A81153211BC18454FD5747DA413E57,49.9900016784668,4.0,41.79999923706056,
12,13,27726,28.29,2021-09-20,0,Swim,Coolibar UPF 50+ Men's Short-Sleeve Quarter Zip Splash Guard - Sun Protection,Coolibar,98A81153211BC18454FD5747DA413E57,49.9900016784668,5.0,49.5,
